ID,Category,Text,Why this Label?,Expected Sentiment,Expected Sarcasm,Expected Toxicity,Expected AI Signal,UI Signal Text,Special Flags,Status,Model Prediction,Correct?
1,Political / Social,"কওমী মাদ্রাসার শাইখুল হাদিস কথা বলে আওয়ামী লীগের ভাষায়, শাহবাগীর ভাষায়","Accuses a religious cleric of political hypocrisy, using ""speaks like Shahbagi"" as an implied insult.",Negative,Yes,Low,🟡 Yellow,"⚖️ Read with context, not just emotion.",,Ready,,
2,Political / Social,"""সকল লাশ তুলে তাদের ফরেন্সিক পরীক্ষা করাবো... তাদের কান চেপে ধরে নিয়ে এসে সবার বাড়ি বাড়ি নিয়ে যাব..."" —শেখ হাসিনা। এই হিমালয় সম ব্যক্তিত্ব আর আকাশ সম সাহসিকতায় এখনও শেখের বেটীই অদ্বিতীয়। আপনারা মতামত দিন। আমি একমত জাতি সত্যটা জানুক। দোষীরা শাস্তি পাক। নিহতের পরিবার সঠিক বিচার পাক।","Approvingly shares a quote describing dragging UN staff by the ear, framed as admirable strength — glorifies threatening/coercive rhetoric from a political figure regardless of the poster's own admiring tone.",Positive (poster's tone),No,High,🔴 Red,🤭 We don't want to ruin your day.,Glorifies threatening state rhetoric — distinct sub-pattern from apologia-for-the-accused.,Ready,,
3,Political / Social,"""প্রধানমন্ত্রীর রুমে গিয়ে আমারই গরম লেগে যায়..."" (minister's own quote, shared to mock him)","A public official's own odd remark, shared to mock/ridicule him.",Neutral,Yes,Low,🟡 Yellow,💬 Every post tells a story—we help explain the signals.,,Ready,,
4,Political / Social,"জনৈক বাঙ্গু হুজুর ফরমাইয়েছেন যে, DNA টেস্টের মাধ্যমে কেউ ধর্ষক হিসেবে প্রমাণিত হলেও তাকে শাস্তি দেয়া শরীয়াহ মোতাবেক হবে না। শরীয়াহ মোতাবেক শাস্তি দিতে হলে চাক্ষুস স্বাক্ষী লাগবে অর্থাৎ এমন ব্যক্তি লাগবে যে স্বচক্ষে ধর্ষণ হতে দেখেছে। ৭০০ খ্রিস্টাব্দ থেকে যে ইসলামের গোল্ডেন এইজ চলছিলো তা থেমে যায় ১৫০০ সালের পর থেকে। এই কারণ ছিলো গুটেনবার্গ ছাপা যন্ত্র বা মুদ্রণ যন্ত্র আবিস্কার করে। সেই যন্ত্রের কারণে ইউরোপে একের পর এক বই ছাপা হতে শুরু করে। জ্ঞান সহজলভ্য হয় এবং রেনেসাঁসকে তরান্বিত করে। বিপরীতে অটোমান খিলাফতের ইসলামিক হুজুররা ফতোয়া দেয় ছাপা যন্ত্র হারাম। এই ফতোয়া প্রায় আড়াইশ বছর টিকে থাকে। ইউরোপিয়ানরা যখন মেশিন দিয়ে বই ছাপাচ্ছে, মুসলিমরা তখনও সেই হাতে লেখা বইয়ে আটকে ছিলো। এখন বাংলাদেশে সবচে বেশি বই মনে হয় হুজুরদের বের হয়। এখন ছাপা যন্ত্র হারাম না। টেলিভিশন যখন আবিস্কার হয় এইটাকে শুধু হারামই না, হুজুররা এর বিরুদ্ধে যুদ্ধ ঘোষণা করেছিলো। মাধ্যম/টুলস কোন দিন হারাম হতে পারে না। হারাম হবে সেই জিনিসটা কী কাজে লাগসে সেইটা। হুজুরদের ধর্মের ব্যাপারে আক্ষরিক জ্ঞান হয়ত আছে। কিন্তু সেই জ্ঞান কমপ্রিহেণ্ড করার ক্ষমতা অনেক হুজুরেরই নাই। #ShareYourThoughts ©Ekjon Ghunpoka","Sharp critique of clerics rejecting DNA evidence in rape cases and historically banning tools (printing press, TV, English).",Negative,Yes,Medium,🟡 Yellow,"⚖️ Read with context, not just emotion.",Full Text Recovered,Ready,,
5,Political / Social,"একজন মাদরাসা শিক্ষকের ডি এন এ পরীক্ষা সংশ্লিষ্ট যৌন কেইসের প্রমাণ হিসেবে প্রচার হচ্ছে। এর আগে ঐ শিক্ষক তার সাফাঈ বয়ান প্রচার করে ছিলেন। আমি তখন সেটা গ্রহণ করিনি, আবার তার বিরুদ্ধে অভিযোগটাও গ্রহণ করিনি। কেননা কোনটাই প্রমাণিত ছিলো না। এখন ডি এন এ পরীক্ষাকে কি আমরা মানদণ্ড ধরে তাকে অপরাধী গণ্য করবো? ফরেনসিক তথ্য চূড়ান্ত সত্য-মিথ্যার মানদণ্ড নয়, ইসলামি জুডিশিয়ারিতে আধুনিক উপকরণকে প্রমাণ বা 'বাইয়্যিনাহ্' হিসেবে নয়, তবে আলামত বা 'করীনাহ' হিসেবে ধরা হয়। যদিও ইসলামি আইনে ফরেনসিক মানদণ্ড নয়, কিন্তু স্বীকারোক্তি অর্জনে এটাকে একটা প্রেসার হিসেবে ব্যবহার করা যাবে নির্দ্বিধায়। সুতরাং বিতর্ক শেষ হচ্ছে না। থেকে যাচ্ছে সংকট, অপরাধী হয়েও শাস্তি না পাওয়ার সংকট, আর অপরাধী না হয়েও মবের শিকার বা মিডিয়ায় অপমানিত হওয়ার সংকট। শাইখ হারুন ইজহার (হাফিযাহুল্লাহু)","Argues DNA evidence shouldn't be dispositive in a sexual-abuse case under religious law, casting doubt on forensic proof of guilt.",Negative,No,High,🔴 Red,🤭 We don't want to ruin your day.,Full Text Recovered,Ready,,
6,Political / Social,অস্বাভাবিক মৃত্যুর খবরে দেশ ভরপুর হযে গন্ধে ভরে যাচ্ছে জনগন কোথায যাবে।,General despair/outcry about rising unnatural deaths in the country; no specific target or accusation.,Negative,No,Low,🟡 Yellow,✨ A little context before you scroll.,Concerning Topic: Yes,Ready,,
7,Political / Social,"""পাঙ্গাসের কাটা কিনে খাবে, তবুও কনডম কিনবে না... ৫টা বাচ্চা আছে... বাচ্চার ওজন তুলনামূলক কম, বাচ্চা উল্টা... জনসংখ্যার ঘনত্ব: বাংলাদেশ ১,৩০০+/কিমি²... আমাদের আছে শুধু প্রডাকশনের ক্ষমতা।"" —Dr. Mehedi Hasan Sagor [trimmed]","Doctor's frustrated commentary on poverty/overpopulation using real patient cases; blunt, somewhat dehumanizing phrasing, but framed as public-health advocacy, not targeted abuse of a named individual.",Negative,No,Medium,🟡 Yellow,"⚖️ Read with context, not just emotion.",Targets Real Named Individual; Long Post; Medical | Trimmed excerpt (long post).,Ready,,
8,Political / Social,পুরো দেশ টা জংহিষ্ঠান হয়ে গেলো,Broad political despair statement.,Negative,No,Low,🟡 Yellow,✨ A little context before you scroll.,,Ready,,
9,Political / Social,"""Kicu kuttarbacca ekono bolbe desh valo ase...""",Explicit vulgar profanity aimed broadly at critics/the nation.,Negative,No,High,🔴 Red,⚠️ This post contains language that may be harmful or offensive.,Literal-profanity Red example (contrast with coded-slur Red examples).,Ready,,
10,Political / Social,আইন আছে নামে সব টাকার কাছে বিক্রি মাল,Cynical claim that law/justice is for sale.,Negative,No,Low,🟡 Yellow,✨ A little context before you scroll.,,Ready,,
