ID,Category,Text,Detected Language,Expected Sentiment,Predicted Sentiment,Expected Sarcasm,Predicted Sarcasm,Expected Toxicity,Predicted Toxicity,Toxicity Score,Expected AI Signal,Predicted AI Signal,Model Prediction,Correct?
1,Political / Social,"কওমী মাদ্রাসার শাইখুল হাদিস কথা বলে আওয়ামী লীগের ভাষায়, শাহবাগীর ভাষায়",Bangla,Negative,Negative,Yes,No,Low,Medium,2.4009881019592285,Yellow,Yellow,Negative / Non-Sarcastic / Medium toxicity -> Yellow,Yes
2,Political / Social,"""সকল লাশ তুলে তাদের ফরেন্সিক পরীক্ষা করাবো... তাদের কান চেপে ধরে নিয়ে এসে সবার বাড়ি বাড়ি নিয়ে যাব..."" —শেখ হাসিনা। এই হিমালয় সম ব্যক্তিত্ব আর আকাশ সম সাহসিকতায় এখনও শেখের বেটীই অদ্বিতীয়। আপনারা মতামত দিন। আমি একমত জাতি সত্যটা জানুক। দোষীরা শাস্তি পাক। নিহতের পরিবার সঠিক বিচার পাক।",Bangla,Positive (poster's tone),Negative,No,No,High,Medium,2.7764614820480347,Red,Yellow,Negative / Non-Sarcastic / Medium toxicity -> Yellow,No
3,Political / Social,"""প্রধানমন্ত্রীর রুমে গিয়ে আমারই গরম লেগে যায়..."" (minister's own quote, shared to mock him)",Mixed,Neutral,Unknown,Yes,No,Low,Low,1.3058415353298187,Yellow,Yellow,Unknown / Non-Sarcastic / Low toxicity -> Yellow,Yes
4,Political / Social,"জনৈক বাঙ্গু হুজুর ফরমাইয়েছেন যে, DNA টেস্টের মাধ্যমে কেউ ধর্ষক হিসেবে প্রমাণিত হলেও তাকে শাস্তি দেয়া শরীয়াহ মোতাবেক হবে না। শরীয়াহ মোতাবেক শাস্তি দিতে হলে চাক্ষুস স্বাক্ষী লাগবে অর্থাৎ এমন ব্যক্তি লাগবে যে স্বচক্ষে ধর্ষণ হতে দেখেছে। ৭০০ খ্রিস্টাব্দ থেকে যে ইসলামের গোল্ডেন এইজ চলছিলো তা থেমে যায় ১৫০০ সালের পর থেকে। এই কারণ ছিলো গুটেনবার্গ ছাপা যন্ত্র বা মুদ্রণ যন্ত্র আবিস্কার করে। সেই যন্ত্রের কারণে ইউরোপে একের পর এক বই ছাপা হতে শুরু করে। জ্ঞান সহজলভ্য হয় এবং রেনেসাঁসকে তরান্বিত করে। বিপরীতে অটোমান খিলাফতের ইসলামিক হুজুররা ফতোয়া দেয় ছাপা যন্ত্র হারাম। এই ফতোয়া প্রায় আড়াইশ বছর টিকে থাকে। ইউরোপিয়ানরা যখন মেশিন দিয়ে বই ছাপাচ্ছে, মুসলিমরা তখনও সেই হাতে লেখা বইয়ে আটকে ছিলো। এখন বাংলাদেশে সবচে বেশি বই মনে হয় হুজুরদের বের হয়। এখন ছাপা যন্ত্র হারাম না। টেলিভিশন যখন আবিস্কার হয় এইটাকে শুধু হারামই না, হুজুররা এর বিরুদ্ধে যুদ্ধ ঘোষণা করেছিলো। মাধ্যম/টুলস কোন দিন হারাম হতে পারে না। হারাম হবে সেই জিনিসটা কী কাজে লাগসে সেইটা। হুজুরদের ধর্মের ব্যাপারে আক্ষরিক জ্ঞান হয়ত আছে। কিন্তু সেই জ্ঞান কমপ্রিহেণ্ড করার ক্ষমতা অনেক হুজুরেরই নাই। #ShareYourThoughts ©Ekjon Ghunpoka",Bangla,Negative,Negative,Yes,Yes,Medium,Medium,3.224250078201294,Yellow,Yellow,Negative / Sarcastic / Medium toxicity -> Yellow,Yes
5,Political / Social,"একজন মাদরাসা শিক্ষকের ডি এন এ পরীক্ষা সংশ্লিষ্ট যৌন কেইসের প্রমাণ হিসেবে প্রচার হচ্ছে। এর আগে ঐ শিক্ষক তার সাফাঈ বয়ান প্রচার করে ছিলেন। আমি তখন সেটা গ্রহণ করিনি, আবার তার বিরুদ্ধে অভিযোগটাও গ্রহণ করিনি। কেননা কোনটাই প্রমাণিত ছিলো না। এখন ডি এন এ পরীক্ষাকে কি আমরা মানদণ্ড ধরে তাকে অপরাধী গণ্য করবো? ফরেনসিক তথ্য চূড়ান্ত সত্য-মিথ্যার মানদণ্ড নয়, ইসলামি জুডিশিয়ারিতে আধুনিক উপকরণকে প্রমাণ বা 'বাইয়্যিনাহ্' হিসেবে নয়, তবে আলামত বা 'করীনাহ' হিসেবে ধরা হয়। যদিও ইসলামি আইনে ফরেনসিক মানদণ্ড নয়, কিন্তু স্বীকারোক্তি অর্জনে এটাকে একটা প্রেসার হিসেবে ব্যবহার করা যাবে নির্দ্বিধায়। সুতরাং বিতর্ক শেষ হচ্ছে না। থেকে যাচ্ছে সংকট, অপরাধী হয়েও শাস্তি না পাওয়ার সংকট, আর অপরাধী না হয়েও মবের শিকার বা মিডিয়ায় অপমানিত হওয়ার সংকট। শাইখ হারুন ইজহার (হাফিযাহুল্লাহু)",Bangla,Negative,Negative,No,No,High,Medium,2.6058108806610107,Red,Yellow,Negative / Non-Sarcastic / Medium toxicity -> Yellow,No
6,Political / Social,অস্বাভাবিক মৃত্যুর খবরে দেশ ভরপুর হযে গন্ধে ভরে যাচ্ছে জনগন কোথায যাবে।,Bangla,Negative,Negative,No,Yes,Low,Low,1.27353897690773,Yellow,Yellow,Negative / Sarcastic / Low toxicity -> Yellow,Yes
7,Political / Social,"""পাঙ্গাসের কাটা কিনে খাবে, তবুও কনডম কিনবে না... ৫টা বাচ্চা আছে... বাচ্চার ওজন তুলনামূলক কম, বাচ্চা উল্টা... জনসংখ্যার ঘনত্ব: বাংলাদেশ ১,৩০০+/কিমি²... আমাদের আছে শুধু প্রডাকশনের ক্ষমতা।"" —Dr. Mehedi Hasan Sagor [trimmed]",Mixed,Negative,Unknown,No,No,Medium,Low,1.2237572818994522,Yellow,Yellow,Unknown / Non-Sarcastic / Low toxicity -> Yellow,Yes
8,Political / Social,পুরো দেশ টা জংহিষ্ঠান হয়ে গেলো,Bangla,Negative,Negative,No,Yes,Low,Low,1.2647965550422668,Yellow,Yellow,Negative / Sarcastic / Low toxicity -> Yellow,Yes
9,Political / Social,"""Kicu kuttarbacca ekono bolbe desh valo ase...""",Banglish,Negative,Unknown,No,No,High,Low,1.1936239153146744,Red,Yellow,Unknown / Non-Sarcastic / Low toxicity -> Yellow,No
10,Political / Social,আইন আছে নামে সব টাকার কাছে বিক্রি মাল,Bangla,Negative,Negative,No,Yes,Low,Low,1.2826260924339294,Yellow,Yellow,Negative / Sarcastic / Low toxicity -> Yellow,Yes
