ID,Category,Text,Why this Label?,Expected Sentiment,Expected Sarcasm,Expected Toxicity,Expected AI Signal,UI Signal Text,Special Flags,Status,Model Prediction,Correct?
147,Safe/Positive,Thank you so much for helping me today!,Clear positive gratitude with no negative or risky content.,Positive,No,Low,🟢 Green,🌱 Your feed with a little more clarity.,,Ready,,
148,Safe/Positive,"What a beautiful morning, I love this weather.","Clear positive statement, no risk content.",Positive,No,Low,🟢 Green,🌱 Your feed with a little more clarity.,,Ready,,
149,Safe/Positive,"Congratulations on your graduation, well deserved!","Positive celebratory message, no risk content.",Positive,No,Low,🟢 Green,🌱 Your feed with a little more clarity.,,Ready,,
150,Safe/Positive,I really enjoyed the concert last night.,Simple positive personal experience.,Positive,No,Low,🟢 Green,🌱 Your feed with a little more clarity.,,Ready,,
151,Safe/Positive,"Great job on the presentation, the team loved it.","Positive workplace praise, no risk content.",Positive,No,Low,🟢 Green,🌱 Your feed with a little more clarity.,,Ready,,
152,Safe/Positive,"Have a wonderful day, see you soon!",Friendly positive send-off.,Positive,No,Low,🟢 Green,🌱 Your feed with a little more clarity.,,Ready,,
153,Safe/Positive,This restaurant has the best food in town.,"Positive recommendation, no risk content.",Positive,No,Low,🟢 Green,🌱 Your feed with a little more clarity.,,Ready,,
154,Safe/Positive,I'm so proud of how far you've come.,Warm supportive statement.,Positive,No,Low,🟢 Green,🌱 Your feed with a little more clarity.,,Ready,,
155,Safe/Positive,The new update made the app so much easier to use.,Positive product feedback.,Positive,No,Low,🟢 Green,🌱 Your feed with a little more clarity.,,Ready,,
156,Safe/Positive,Looking forward to seeing everyone at the reunion.,Positive anticipatory statement.,Positive,No,Low,🟢 Green,🌱 Your feed with a little more clarity.,,Ready,,
